?cls	?def	?xrefs
<http://edamontology.org/data_2603>	"Image, hybridisation or some other data arising from a study of feature/molecule expression, typically profiling or quantification."	
<http://purl.obolibrary.org/obo/VO_0000001>	"Material entity that is manufactured to realize the vaccine function."	
<http://purl.obolibrary.org/obo/GO_0005622>	"A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."	
<http://purl.obolibrary.org/obo/MP_0002555>	"strong dependence on an addictive compound such as alcohol or narcotics that results in uncontrollable cravings for such compounds"	
<http://purl.obolibrary.org/obo/CHEBI_25703>		
<http://purl.obolibrary.org/obo/ENVO_01000813>	"A material part of an astronomical body."	
<http://purl.obolibrary.org/obo/SO_0000324>	"A nucleotide sequence that may be used to identify a larger sequence."	
<http://www.ebi.ac.uk/swo/SWO_0000143>	"The storing of digital information. Often this is done for archiving and retrieval purposes."	
<http://purl.obolibrary.org/obo/OBI_0000729>	"A cloning plasmid is a plasmid that was engineered to contain a bacterial origin of replication, encodes for a selectable gene product and contains a cloning site."@en	
<http://purl.obolibrary.org/obo/MF_0000020>	"A bodily process that occurs in the brain, and that can of itself be conscious, or can give rise to a process that can of itself be conscious or can give rise to behaviour."	
<http://www.ebi.ac.uk/efo/EFO_0000727>	"A planned process intended to modify or alter a condition or characteristic of an organism or individual."	
<http://edamontology.org/data_3108>	"Raw data such as measurements or other results from laboratory experiments, as generated from laboratory hardware."	
<http://purl.obolibrary.org/obo/SO_1000008>	"A single nucleotide change which has occurred at the same position of a corresponding nucleotide in a reference sequence."	
<http://purl.obolibrary.org/obo/GO_0043226>	"Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."	
<http://edamontology.org/data_1235>	"A set of sequences that have been clustered or otherwise classified as belonging to a group including (typically) sequence cluster information."	
<http://purl.obolibrary.org/obo/GO_0050890>	"The operation of the mind by which an organism becomes aware of objects of thought or perception; it includes the mental activities associated with thinking, learning, and memory."	
<http://purl.obolibrary.org/obo/CHEBI_36342>	"A particle smaller than an atom."	
<http://purl.obolibrary.org/obo/NCIT_C66892>	"Any whole or part of a plant (including plant exudates), animal or microorganism that is unprocessed (raw material), or that has been processed, pulverized or extracted. Many of the natural products have some biological and/or pharmacological activity or are used for a specific purpose, not necessarily medicinal (food, aroma therapy, research and etc.). This class does not include any individual substance derived from plants/animals or other organisms with specific pharmacologic activity (See Drug, Natural Product)."	
<http://edamontology.org/data_0912>	"A report of primarily non-positional data describing intrinsic physical, chemical or other properties of a nucleic acid molecule."	
<http://edamontology.org/data_1460>	"3D coordinate and associated data for a protein tertiary (3D) structure, or part of a structure, possibly in complex with other molecules."	
<http://purl.obolibrary.org/obo/OBI_0001850>	"A transcription profiling assay that determines transcripts, gene structures, and gene expressions using Paired-End Tags and sequencing technology."@en	
<http://purl.obolibrary.org/obo/IAO_0000314>	"An information content entity that is part of a document."@en	
<http://purl.obolibrary.org/obo/ENVO_01001852>	"A process during which one entity loses energy to another entity."	
<http://purl.obolibrary.org/obo/GO_0019538>	"The chemical reactions and pathways involving a protein. Includes protein modification."	
<http://purl.obolibrary.org/obo/CL_0000034>	"A relatively undifferentiated cell that retains the ability to divide and proliferate throughout life to provide progenitor cells that can differentiate into specialized cells."	
<http://purl.obolibrary.org/obo/GO_0051087>	"Binding to a chaperone protein, a class of proteins that bind to nascent or unfolded polypeptides and ensure correct folding or transport."	
<http://purl.obolibrary.org/obo/OBI_0000094>	"A planned process which results in physical changes in a specified input material."	
<http://purl.obolibrary.org/obo/OMIT_0010354>		
<http://www.ebi.ac.uk/efo/EFO_0004327>	"Recording of the moment-to-moment electromotive forces of theÂ HEARTÂ as projected onto various sites on the body's surface, delineated as a scalar function of time. The recording is monitored by a tracing on slow moving chart paper or by observing it on a cardioscope, which is aÂ CATHODE RAY TUBE DISPLAY."	
<http://purl.obolibrary.org/obo/IAO_0000309>	"A figure that expresses one or more propositions"@en	
<http://purl.obolibrary.org/obo/CHEBI_51086>	"A role played by the molecular entity or part thereof within a chemical context."	
<http://edamontology.org/data_1364>	"A statistical Markov model of a system which is assumed to be a Markov process with unobserved (hidden) states. For example, a hidden Markov model representation of a set or alignment of sequences."	
<http://purl.obolibrary.org/obo/DOID_12849>	"An autism spectrum disorder that is characterized by symptoms across all three symptom domains (communication, social, restricted repetitive interests and behaviors), delayed language development, and symptom onset prior to age 3 years."@en	
<http://purl.obolibrary.org/obo/SO_1000183>	"An alteration of the genome that leads to a change in the structure or number of one or more chromosomes."	
<http://purl.obolibrary.org/obo/CL_0000540>	"The basic cellular unit of nervous tissue. Each neuron consists of a body, an axon, and dendrites. Their purpose is to receive, conduct, and transmit impulses in the nervous system."	
<http://purl.obolibrary.org/obo/UBERON_0001474>	"Also called osseous tissue, (Latin: os). Is a type of hard endoskeletal connective tissue found in many vertebrate animals. Bone is the main tissue of body organs that support body structures, protect internal organs, (in conjunction with muscles) facilitate movement; and are involved with cell formation, calcium metabolism, and mineral storage.[AAO]"	
<http://purl.obolibrary.org/obo/CHEBI_24636>	"Nuclear particle of charge number +1, spin 1/2 and rest mass of 1.007276470(12) u."	
<http://purl.obolibrary.org/obo/GO_0050877>	"An organ system process carried out by any of the organs or tissues of the neurological system."	
<http://purl.obolibrary.org/obo/OBI_0001177>	"An assay that determines the sequence of an RNA molecule."@en	
<http://purl.obolibrary.org/obo/GO_0007606>	"The series of events required for an organism to receive a sensory chemical stimulus, convert it to a molecular signal, and recognize and characterize the signal. This is a neurological process."	
<http://purl.obolibrary.org/obo/PATO_0000058>	"A physical quality inhering in a bearer by virtue of the bearer's molecules being are aerially dispersed and perceived by an odorant receptor."	
<http://purl.obolibrary.org/obo/NCIT_C101293>	"Technologies that facilitate the rapid determination of the nucleotide sequence of large numbers of strands or segments of DNA or RNA."	
<http://purl.obolibrary.org/obo/FMA_70631>		
<http://purl.obolibrary.org/obo/NCIT_C114185>	"A group of tests taken during sleep to capture and record brain wave changes, eye movements, breathing rate, blood pressure, heart rate, and the electrical activity of the heart and other muscles."	
<http://purl.obolibrary.org/obo/OBI_0500000>	"A plan specification comprised of protocols (which may specify how and what kinds of data will be gathered) that are executed as part of an investigation and is realized during a study design execution."@en	
<http://purl.obolibrary.org/obo/GO_0015031>	"The directed movement of proteins into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://semanticscience.org/resource/SIO_000716>		
<http://purl.obolibrary.org/obo/CHMO_0000156>	"A method for determining structure by directing a beam of X-rays at the sample and detecting the positions and intensities of the diffracted X-rays as a pattern of spots on a photographic plate."	
<http://biomodels.net/SBO/SBO_0000242>	"A component that allows another component to pass through itself, possibly connecting different compartments."	
<http://purl.obolibrary.org/obo/ENVO_01001686>	"An object which is composed primarily of an environmental material"@en	
<http://purl.obolibrary.org/obo/GO_0019222>	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism."	
<http://purl.obolibrary.org/obo/CHMO_0001112>	"Microscopy where the specimen is illuminated with light transmitted from a source on the opposite side of the specimen from the objective, and image resolution (which is normally limited by diffraction) is enhanced by processing the images with image restoration algorithms."	
<http://purl.obolibrary.org/obo/NCIT_C18472>	"Use of robots and other automated techniques to screen large numbers of samples."	
<http://purl.obolibrary.org/obo/CHEBI_25212>	"Any intermediate or product resulting from metabolism. The term 'metabolite' subsumes the classes commonly known as primary and secondary metabolites."	
<http://purl.obolibrary.org/obo/NCIT_C13302>	"The specific 3-dimensional folded protein structure that is determined by the hydrogen bonds formed between amino acids in the polypeptide chain."	
<http://edamontology.org/data_2321>	"A unique, persistent identifier of an enzyme."	
<http://purl.obolibrary.org/obo/CL_0000723>	"A stem cell that can give rise to cell types of the body other than those of the germ-line."	
<http://edamontology.org/data_1743>	"Cartesian coordinate of an atom (in a molecular structure)."	
<http://www.ebi.ac.uk/cellline#UnspecifiedCellType>		
<http://purl.obolibrary.org/obo/PATO_0001241>	"A quality which inheres in a continuant."	
<http://edamontology.org/operation_3927>	"Generate, process or analyse a biological network."	
<http://purl.obolibrary.org/obo/OBI_0000968>	"A material entity that is designed to perform a function in a scientific investigation, but is not a reagent."@en	
<http://purl.obolibrary.org/obo/GO_0005813>	"A structure comprised of a core structure (in most organisms, a pair of centrioles) and peripheral material from which a microtubule-based structure, such as a spindle apparatus, is organized. Centrosomes occur close to the nucleus during interphase in many eukaryotic cells, though in animal cells it changes continually during the cell-division cycle."	
<http://purl.obolibrary.org/obo/CHEBI_33675>	"A main group molecular entity that contains one or more atoms of a p-block element."	
<http://edamontology.org/data_3113>	"Annotation on a biological sample, for example experimental factors and their values."	
<http://purl.obolibrary.org/obo/OBI_0600047>	"An assay the uses chemical or biochemical means to infer the sequence of a biomaterial"@en	
<http://purl.obolibrary.org/obo/CL_0000988>	"A cell of a hematopoietic lineage."	
<http://purl.obolibrary.org/obo/GO_0140352>	"The directed movement of some substance from a cell, into the extracellular region. This may occur via transport across the plasma membrane or via exocytosis."	
<http://purl.obolibrary.org/obo/OBI_0600056>	"protease cleavage is an enzymatic cleavage which relies on enzyme with protease activity to act on proteins and produce polypeptides (protein fragments)."@en	
<http://purl.obolibrary.org/obo/MI_0328>	"Molecule not part of or directly encoded by the genome, encompasses any constitutionally or isotopically distinct atom, molecule, ion, ion pair, radical, radical ion, complex, conformer, etc., identifiable as a separately distinguishable entity."	
<http://purl.obolibrary.org/obo/UBERON_0000062>	"Anatomical structure that performs a specific function or group of functions [WP]."	
<http://purl.obolibrary.org/obo/CHMO_0000999>	"A method that results in the separation of two or more components according to some property."	
<http://purl.obolibrary.org/obo/IDO_0000522>	"An organism bearing a symbiont role."@en	
<http://purl.obolibrary.org/obo/HP_0002664>	"An organ or organ-system abnormality that consists of uncontrolled autonomous cell-proliferation which can occur in any part of the body as a benign or malignant neoplasm (tumor)."	
<http://edamontology.org/topic_3337>	"Repositories of biological samples, typically human, for basic biological and clinical research."	
<http://edamontology.org/operation_0269>	"Predict and/or classify transmembrane proteins or transmembrane (helical) domains or regions in protein sequences."	
<http://purl.obolibrary.org/obo/CHMO_0001806>	"A technique or procedure applied in nuclear magnetic resonance experiments."	
<http://purl.obolibrary.org/obo/SO_0001067>	"A sequence motif is a short (up to 20 amino acids) region of biological interest. Such motifs, although they are too short to constitute functional domains, share sequence similarities and are conserved in different proteins. They display a common function (protein-binding, subcellular location etc.)."	
<http://purl.obolibrary.org/obo/SO_0001007>	"A remnant of an integrated prophage in the host genome or an \"island\" in the host genome that includes phage like-genes."	
<http://purl.obolibrary.org/obo/OBI_0000073>	"A sample_preparation_for_assay is a protocol_application including material_enrollments and biomaterial_transformations. definition_source: OBI."@en	
<http://purl.obolibrary.org/obo/GO_0009059>	"The chemical reactions and pathways resulting in the formation of a macromolecule, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."	
<http://edamontology.org/data_0939>	"Protein secondary structure from protein coordinate or circular dichroism (CD) spectroscopic data."	
<http://purl.obolibrary.org/obo/GO_0000398>	"The joining together of exons from one or more primary transcripts of messenger RNA (mRNA) and the excision of intron sequences, via a spliceosomal mechanism, so that mRNA consisting only of the joined exons is produced."	
<http://purl.obolibrary.org/obo/BFO_0000004>	"b is an independent continuant = Def. b is a continuant which is such that there is no c and no t such that b s-depends_on c at t. (axiom label in BFO2 Reference: [017-002])"@en	
<http://purl.obolibrary.org/obo/CHMO_0001000>	"A separation method where the components are distributed between two phases, one of which is stationary, while the other moves in a definite direction."	
<http://purl.obolibrary.org/obo/OBI_1110201>	"A material entity bearing the disposition to cause an allergic reaction"@en	
<http://purl.obolibrary.org/obo/UBERON_0000948>	"Blood pumping organ composed of four chambers: sinus venosus, atrium, cardiac ventricle and bulbus arteriosus.[TAO]"	
<http://purl.obolibrary.org/obo/OBI_0001865>	"A device made to be used in an analyte assay for immobilization of substances that bind the analyte at regular spatial positions on a surface."@en	
<http://purl.obolibrary.org/obo/SO_1000032>	"A sequence alteration which included an insertion and a deletion, affecting 2 or more bases."	
<http://www.ebi.ac.uk/swo/data/SWO_3000053>	"A knowledge representation role is a role borne by a data format which utilizes formalisms to make complex systems easier to design and build. Knowledge representation is the field of artificial intelligence devoted to representing information about the world in a form that a computer system can utilize to solve complex tasks."	
<http://purl.obolibrary.org/obo/OBI_0002186>	"An extracellular electrophysiology assay where electrodes are mounted outside the brain (either on the surface of the scalp on onto the brain surface itself during surgery) to measure the electrical field over the external surface."@en	
<http://purl.obolibrary.org/obo/GO_0070085>	"The covalent attachment and further modification of carbohydrate residues to a substrate molecule."	
<http://purl.obolibrary.org/obo/OBCS_0000233>	"A data item that is produced as the output of a data transformation."	
<http://purl.obolibrary.org/obo/UBERON_0000178>	"A complex mixture of cells suspended in a liquid matrix that delivers nutrients to cells and removes wastes. (Source: BioGlossary, www.Biology-Text.com)[TAO]"	
<http://purl.obolibrary.org/obo/CHEBI_33579>	"A molecular entity containing one or more atoms from any of groups 1, 2, 13, 14, 15, 16, 17, and 18 of the periodic table."	
<http://purl.obolibrary.org/obo/CHEBI_24432>	"A role played by the molecular entity or part thereof within a biological context."	
<http://purl.obolibrary.org/obo/GO_0007049>	"The progression of biochemical and morphological phases and events that occur in a cell during successive cell replication or nuclear replication events. Canonically, the cell cycle comprises the replication and segregation of genetic material followed by the division of the cell, but in endocycles or syncytial cells nuclear replication or nuclear division may not be followed by cell division."	
<http://www.fairsharing.org/ontology/domain/DRAO_0000281>	"A resource is FAIR if it is compliant with the FAIR principles, a set of guidelines to make data Findable, Accessible, Interoperable, and Re-usable. These guidelines are useful for those wishing to enhance the reusability of their data holdings. Distinct from peer initiatives that focus on the human scholar, the FAIR Principles put specific emphasis on enhancing the ability of machines to automatically find and use the data, in addition to supporting its reuse by individuals."	
<http://purl.obolibrary.org/obo/SO_0000112>	"An oligo to which new deoxyribonucleotides can be added by DNA polymerase."	
<http://purl.obolibrary.org/obo/CL_0001034>		
<http://purl.obolibrary.org/obo/CL_0000226>	"A cell with a single nucleus."	
<http://purl.obolibrary.org/obo/NCIT_C15318>	"The ability to yield similar results given a set of constraints."	
<http://purl.obolibrary.org/obo/SO_0000001>	"A sequence_feature with an extent greater than zero. A nucleotide region is composed of bases and a polypeptide region is composed of amino acids."	
<http://purl.obolibrary.org/obo/OBI_0300311>	"observation design is a study design in which subjects are monitored in the absence of any active intervention by experimentalists."@en	
<http://purl.obolibrary.org/obo/GO_0032502>	"A biological process whose specific outcome is the progression of an integrated living unit: an anatomical structure (which may be a subcellular structure, cell, tissue, or organ), or organism over time from an initial condition to a later condition."	
<http://purl.obolibrary.org/obo/CHEBI_33695>		
<http://purl.obolibrary.org/obo/CL_0000325>	"A cell that is specialised to accumulate a particular substance(s)."	
<http://purl.obolibrary.org/obo/GO_0008104>	"Any process in which a protein is transported to, or maintained in, a specific location."	
<http://purl.obolibrary.org/obo/OBI_0000800>	"A process in which bonds are created that link one polymer to another"@en	
<http://purl.obolibrary.org/obo/SO_0000188>	"A region of a primary transcript that is transcribed, but removed from within the transcript by splicing together the sequences (exons) on either side of it."	
<http://purl.obolibrary.org/obo/SO_0005851>	"An array includes two or more genes, or two or more gene subarrays, contiguously arranged where the individual genes, or subarrays, are either identical in sequence, or essentially so."	
<http://purl.obolibrary.org/obo/UBERON_0002530>	"An organ that functions as a secretory or excretory organ."	
<http://purl.obolibrary.org/obo/GO_0006473>	"The addition of an acetyl group to a protein amino acid. An acetyl group is CH3CO-, derived from acetic [ethanoic] acid."	
<http://purl.obolibrary.org/obo/SO_0000330>	"Region of sequence similarity by descent from a common ancestor."	
<http://purl.obolibrary.org/obo/OBI_0001986>	"An immunostaining assay to detect and potentially localize antigens within the cells of a tissue section."@en	
<http://purl.obolibrary.org/obo/SO_0000934>	"A miRNA target site is a binding site where the molecule is a micro RNA."	
<http://aims.fao.org/aos/agrovoc/c_16526>	"Bioenergy is renewable energy made available from materials derived from biological sources. [AL 6.3.18, source Wikipedia https://en.wikipedia.org/wiki/Bioenergy]."	
<http://purl.obolibrary.org/obo/STATO_0000254>	"The allele frequency is a data item which denotes the incidence of a gene variant in a population. It is calculated as a ratio, by dividing the number of copies of a particular allele by the number of copies of all alleles at the genetic place (locus) in a population."@en	
<http://purl.obolibrary.org/obo/CHEBI_15986>	"A nucleobase-containing molecular entity with a polymeric structure comprised of a linear sequence of 13 or more nucleotide residues."	
<http://edamontology.org/data_0970>	"Bibliographic data that uniquely identifies a scientific article, book or other published material."	
<http://purl.obolibrary.org/obo/FBcv_0003040>	"A project that constructs models describing the set of transcripts and polypeptides encoded by some group of genes."	
<http://purl.obolibrary.org/obo/SO_0000858>	"An attribute describing a kind of homology where divergence occurred after a speciation event."	
<http://purl.obolibrary.org/obo/CHEBI_50047>	"A compound formally derived from ammonia by replacing one, two or three hydrogen atoms by organyl groups."	
<http://purl.obolibrary.org/obo/SO_0000973>	"A terminal_inverted_repeat_element that is bacterial and only encodes the functions required for its transposition between these inverted repeats."	
<http://edamontology.org/operation_2422>	"Retrieve an entry (or part of an entry) from a data resource that matches a supplied query. This might include some primary data and annotation. The query is a data identifier or other indexed term. For example, retrieve a sequence record with the specified accession number, or matching supplied keywords."	
<http://purl.obolibrary.org/obo/OMIT_0028181>		
<http://purl.obolibrary.org/obo/GO_0043412>	"The covalent alteration of one or more monomeric units in a polypeptide, polynucleotide, polysaccharide, or other biological macromolecule, resulting in a change in its properties."	
<http://purl.obolibrary.org/obo/CL_0002319>	"A cell that is part of the nervous system."	
<http://purl.obolibrary.org/obo/IAO_0000088>	"A document assembled by an author for the purpose of providing information for the audience. A report is the output of a documenting process and has the objective to be consumed by a specific audience. Topic of the report is on something that has completed. A report is not a single figure. Examples of reports are journal article, patent application, grant progress report, case report (not patient record)."@en	
<http://purl.obolibrary.org/obo/UBERON_0019319>	"An exocrine gland that is part of a integumental system."	
<http://purl.obolibrary.org/obo/IAO_0000038>	"A diagram that presents one or more tuples of information by mapping those tuples in to a two dimensional space in a non arbitrary way."@en	
<http://purl.obolibrary.org/obo/GO_0031982>	"Any small, fluid-filled, spherical organelle enclosed by membrane."	
<http://purl.obolibrary.org/obo/GO_0006810>	"The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."	
<http://edamontology.org/topic_3382>	"The visual representation of an object."	
<http://purl.obolibrary.org/obo/SO_0001026>	"A genome is the sum of genetic material within a cell or virion."	
<http://purl.obolibrary.org/obo/SO_0000180>	"A transposable element that is incorporated into a chromosome by a mechanism that requires reverse transcriptase."	
<http://purl.obolibrary.org/obo/OBI_0000832>	"A device in which a measure function inheres."@en	
<http://purl.obolibrary.org/obo/OBI_0001065>	"An optical microscope that uses two separate optical paths with two objectives and two eyepieces to provide slightly different viewing angles to the left and right eyes."@en	
<http://purl.obolibrary.org/obo/OBI_0000047>	"Is a material entity that is created or changed during material processing."@en	
<http://purl.obolibrary.org/obo/CHEBI_33285>	"A heteroorganic entity is an organic molecular entity in which carbon atoms or organic groups are bonded directly to one or more heteroatoms."	
<http://edamontology.org/data_0990>	"Unique name of a chemical compound."	
<http://www.ebi.ac.uk/efo/EFO_0003843>	"An unpleasant sensation induced by noxious stimuli which are detected by NERVE ENDINGS of NOCICEPTIVE NEURONS."	
<http://www.ebi.ac.uk/efo/EFO_0004554>	"Is a quantification of some aspect of the genome, e.g. copy number variation at some locus."	
<http://purl.obolibrary.org/obo/GO_0010605>	"Any process that decreases the frequency, rate or extent of the chemical reactions and pathways involving macromolecules, any molecule of high relative molecular mass, the structure of which essentially comprises the multiple repetition of units derived, actually or conceptually, from molecules of low relative molecular mass."	
<http://purl.obolibrary.org/obo/OBI_0001173>	"A planned process in which a service provider performs a task (i.e. a planned process) for a service consumer."@en	
<http://purl.obolibrary.org/obo/OBI_0000626>	"A sequencing assay which determines information on the sequence of a DNA molecule."@en	
<http://purl.obolibrary.org/obo/CHEBI_51087>	"A group that is introduced into a molecule by chemical modification of a functional group in order to obtain chemoselectivity in a subsequent chemical reaction."	
<http://purl.obolibrary.org/obo/CHEBI_50406>	"A role played by a molecular entity used to study the microscopic environment."	
<http://purl.obolibrary.org/obo/UBERON_0000105>	"A spatiotemporal region encompassing some part of the life cycle of an organism."	
<http://purl.obolibrary.org/obo/CHEBI_18111>	"RNA molecules which are essential structural and functional components of ribosomes, the subcellular units responsible for protein synthesis."	
<http://purl.obolibrary.org/obo/CL_0000518>	"A phagocyte in vertebrates that is able to phagocytosis."	
<http://purl.obolibrary.org/obo/IAO_0000027>	"a data item is an information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements."@en	
<http://purl.obolibrary.org/obo/SO_0000696>	"A short oligonucleotide sequence, of length on the order of 10's of bases; either single or double stranded."	
<http://purl.obolibrary.org/obo/GO_0035194>	"A posttranscriptional gene silencing pathway in which regulatory RNAs elicit silencing of specific target genes, either by mRNA destabilization or inhibition of translation."	
<http://purl.obolibrary.org/obo/GO_0042101>	"A protein complex that contains a disulfide-linked heterodimer of T cell receptor (TCR) chains, which are members of the immunoglobulin superfamily, and mediates antigen recognition, ultimately resulting in T cell activation. The TCR heterodimer is associated with the CD3 complex, which consists of the nonpolymorphic polypeptides gamma, delta, epsilon, zeta, and, in some cases, eta (an RNA splice variant of zeta) or Fc epsilon chains."	
<http://purl.obolibrary.org/obo/CHMO_0001215>	"Any technique which detects the response of spins to a perturbing magnetic field."	
<http://purl.obolibrary.org/obo/OGMS_0000073>	"The representation of a conclusion of a diagnostic process."@en	
<http://purl.obolibrary.org/obo/GO_0005488>	"The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule."	
<http://purl.obolibrary.org/obo/UBERON_0001911>	"A specialized accessory gland of the skin of mammals that secretes milk. The gland is typically only developed in females, and regresses in males."	
<http://edamontology.org/data_0846>	"A specification of a chemical structure."	
<http://purl.obolibrary.org/obo/OBI_0000912>	"A 3D molecular structure determination assay in which the diffraction of pattern of X-ray beams in a crystal of purified material entities is used to resolve the 3-dimensional structure of the material entity of interest."@en	
<http://purl.obolibrary.org/obo/OBI_0000716>	"An assay in which chromatin is immunoprecipitated and subsequently analyzed using a DNA sequencing step to identify which parts of DNA are part of the isolated chromatin"@en	
<http://purl.obolibrary.org/obo/OBI_0600045>	"An assay that determines the 3-dimensional configuration of an input material."@en	
<http://purl.obolibrary.org/obo/PATO_0002146>	"A quality inhering in a bearer by virtue of the severity of infectious disease caused by the bearer in a target organism."	
<http://edamontology.org/data_0883>	"3D coordinate and associated data for a macromolecular tertiary (3D) structure or part of a structure."	
<http://purl.obolibrary.org/obo/CHEBI_16670>	"Amide derived from two or more amino carboxylic acid molecules (the same or different) by formation of a covalent bond from the carbonyl carbon of one to the nitrogen atom of another with formal loss of water. The term is usually applied to structures formed from alpha-amino acids, but it includes those derived from any amino carboxylic acid. X = OH, OR, NH2, NHR, etc."	
<http://purl.obolibrary.org/obo/OBI_0001000>	"A document with a set of printed or written questions with a choice of answers, devised for the purposes of a survey or statistical study."@en	
<http://biomodels.net/SBO/SBO_0000261>	"Synonym: Ki "	
<http://www.ebi.ac.uk/efo/EFO_0000336>	"An irregularity in the number or structure of chromosomes, usually in the form of a gain (duplication), loss (deletion), exchange (translocation), or alteration in sequence (inversion) of genetic material."	
<http://purl.obolibrary.org/obo/PATO_0001415>	"A quality inhering in a population by virtue of the proportion of its members that are ill at a given time."	
<http://purl.obolibrary.org/obo/CHEBI_33832>	"Any organic molecule that consists of atoms connected in the form of a ring."	
<http://purl.obolibrary.org/obo/OBI_0000750>	"a directive information entity that is part of a study design. Independent variables are entities whose values are selected to determine its relationship to an observed phenomenon (the dependent variable). In such an experiment, an attempt is made to find evidence that the values of the independent variable determine the values of the dependent variable (that which is being measured). The independent variable can be changed as required, and its values do not represent a problem requiring explanation in an analysis, but are taken simply as given. The dependent variable on the other hand, usually cannot be directly controlled"@en	
<http://purl.obolibrary.org/obo/CL_0002322>	"A stem cell of embryonic origin."	
<http://purl.obolibrary.org/obo/PATO_0001884>	"A physical quality inhering in a bearer by virtue the bearer's disposition to being water-repellent; tending to repel and not absorb water."	
<http://purl.obolibrary.org/obo/NCIT_C41332>	"Any noxious and unintended response(s) to a medical product or procedure, for which a causal relationship with this product or procedure is at least a reasonable possibility i.e., the relationship cannot be ruled out."	
<http://purl.obolibrary.org/obo/OMIT_0025752>		
<http://edamontology.org/operation_0361>	"Annotate a molecular sequence record with terms from a controlled vocabulary."	
<http://purl.obolibrary.org/obo/SO_0000409>	"A biological_region of sequence that, in the molecule, interacts selectively and non-covalently with other molecules. A region on the surface of a molecule that may interact with another molecule. When applied to polypeptides: Amino acids involved in binding or interactions. It can also apply to an amino acid bond which is represented by the positions of the two flanking amino acids."	
<http://purl.obolibrary.org/obo/SO_0000234>	"Messenger RNA is the intermediate molecule between DNA and protein. It includes UTR and coding sequences. It does not contain introns."	
<http://purl.obolibrary.org/obo/OBI_0001248>	"An assay in which chromatin is immunoprecipitated and subsequently analyzed using a DNA microarray to identify which parts of DNA are part of the isolated chromatin"@en	
<http://purl.obolibrary.org/obo/HP_0010984>	"A type of multifactorial inheritance governed by the simultaneous action of two gene loci."	
<http://purl.obolibrary.org/obo/CHEBI_25608>	"A nucleobase-containing molecular entity that is a nucleoside in which one or more of the sugar hydroxy groups has been converted into a mono- or poly-phosphate. The term includes both nucleotides and non-nucleotide nucleoside phosphates."	
<http://purl.obolibrary.org/obo/GO_0090304>	"Any cellular metabolic process involving nucleic acids."	
<http://aims.fao.org/aos/agrovoc/c_33560>	"The ability of a process or human activity to meet present needs but maintain natural resources and leave the environment in good order for future generations."	
<http://purl.obolibrary.org/obo/ENVO_01000029>	"A biome expressed by strips or ridges of rocks, sand, or coral that rises to or near the surface of a body of marine water."	
<http://semanticscience.org/resource/SIO_000998>		
<http://edamontology.org/data_2099>	"A name of a thing, which need not necessarily uniquely identify it."	
<http://purl.obolibrary.org/obo/IAO_0000027>	"An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements."@en	
<http://purl.obolibrary.org/obo/GO_0080090>	"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways within a cell or an organism involving those compounds formed as a part of the normal anabolic and catabolic processes. These processes take place in most, if not all, cells of the organism."	
<http://purl.obolibrary.org/obo/NCIT_C15311>	"Set of measurements and inspections taken to verify that performance of equipment and procedures remains within specified limits."	
<http://purl.obolibrary.org/obo/SO_0000316>	"A contiguous sequence which begins with, and includes, a start codon and ends with, and includes, a stop codon."	
<http://www.ebi.ac.uk/efo/EFO_0004426>	"A karyotype is the number and appearance of chromosomes in the nucleus of a eukaryotic cell."	
<http://purl.obolibrary.org/obo/SO_0000603>	"Group II introns are found in rRNA, tRNA and mRNA of organelles in fungi, plants and protists, and also in mRNA in bacteria. They are large self-splicing ribozymes and have 6 structural domains (usually designated dI to dVI). A subset of group II introns also encode essential splicing proteins in intronic ORFs. The length of these introns can therefore be up to 3kb. Splicing occurs in almost identical fashion to nuclear pre-mRNA splicing with two transesterification steps. The 2' hydroxyl of a bulged adenosine in domain VI attacks the 5' splice site, followed by nucleophilic attack on the 3' splice site by the 3' OH of the upstream exon. Protein machinery is required for splicing in vivo, and long range intron to intron and intron-exon interactions are important for splice site positioning. Group II introns are further sub-classified into groups IIA and IIB which differ in splice site consensus, distance of bulged A from 3' splice site, some tertiary interactions, and intronic ORF phylogeny."	
<http://purl.obolibrary.org/obo/FBcv_0003039>	"A project that searches for chemicals, natural or synthetic, that elicit some biological effect."	
